0;990;1559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;471;965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;184;351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;183;925;1102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;628;993;1745;2573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;196;456;736;1060;1306;1589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;929;1695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;321;635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;142;322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;287;375;535;920;1520;1808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;318;501;694;1101;1654;2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;183;431;867;1072;1364;1853;2152;2533;2834;2976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;406;574;767;1103;1701;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;463;653;1272;1590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;266;532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;317;863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1047;2238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;127;278;470;1878;2043;2220;2410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;536;1107;1393;1708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;345;577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;591;1218;1371;1547;1725;1884;2079;2217;2372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;751;1524;2197;2648;2849;3438;3898;4050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;679;914;1153;1386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;967;1377;1765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;349;524;734;983;1450;1757;1920;2205;2589;2829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;497;983;1209;1483;1973;2259;2451;2767;3201;3428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;185;398;606;1659;1870;2053;2282;2963;3136;3321;3526;4551;4778;5004;5246;6592;6845;7102;7387;7728;;;;;;;;;;;;;;;;;;;;;;;;;;
0;323;647;1013;1929;2190;2475;2801;4147;4478;4853;5222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;189;375;626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;234;736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;213;1455;1629;1844;2272;2720;2897;3111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;296;511;1000;1491;1779;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;188;388;602;1125;1604;1911;2122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;537;949;1266;1442;1795;2073;2402;2694;3515;3848;4006;4126;4423;4728;5355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;284;436;565;863;1156;1441;1738;2367;2682;2828;2954;3240;3530;4125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1242;1848;2467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;920;1500;2119;2502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;276;1083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;285;1474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;337;517;788;1243;2015;2418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;284;945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1064;1277;1667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;772;1034;1608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;243;471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;547;808;1370;1895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;551;789;1353;1601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;794;951;1316;1686;2349;2717;2885;3045;3229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;771;940;1332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;129;368;521;782;1063;1312;1594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;152;317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;184;504;1082;1184;1666;2168;2411;2665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;183;398;826;1260;1647;1843;2031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;442;585;1217;1885;2032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;470;616;752;1328;1584;1699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;773;923;2020;2174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;181;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;201;427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;370;824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;582;1140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1358;2673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;130;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;350;513;816;1587;1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;448;872;1258;1432;1823;2152;2336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;207;385;601;1216;1996;2266;2563;3049;3352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;154;355;554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;120;434;594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;122;504;672;1193;1337;1843;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;714;1458;2465;2638;2836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;390;571;757;1284;2152;2474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;780;1019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;14;333;700;1318;1634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;318;334;654;1030;1747;2142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;960;975;1754;2365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
